ID|Name|Description|IsRoot|MinYear|Cost|Duration|Prerequisites|MutuallyExclusive|PosMod|NegMod|Air|Oce|For|Bio|Mag|Soi|Wat|Cli|Ind|Res|Eco|Ene|Rsc|Pub
IND_01|Steam Power|Harness the power of boiling water to drive industrial machinery.|TRUE|1760|1|5|||Boosts base industry|Minor air pollution|-0.02|0.0|-0.05|0.0|0.0|0.0|0.0|0.01|0.05|0.01|0.05|0.05|-0.02|0.02
IND_02|Coal Extraction|Establish deep-shaft mining operations to fuel the empire.|FALSE|1780|2|5|IND_01||Huge energy boost|Destroys local habitats|-0.05|-0.02|-0.05|-0.02|0.0|-0.02|-0.01|0.02|0.08|0.0|0.06|0.10|-0.05|-0.01
IND_03|Textile Mills|Mechanize weaving to create the first true mass production.|FALSE|1790|1|5|IND_01||Early economic boom|Waterway pollution|0.0|-0.05|0.0|0.0|0.0|0.0|-0.02|0.0|0.05|0.0|0.05|0.0|-0.02|0.02
IND_04|Locomotive Railways|Connect cities with iron horses to revolutionize transport.|FALSE|1830|3|8|IND_02||Logistics revolution|Fragments forests|-0.02|0.0|-0.08|-0.02|0.0|0.0|0.0|0.0|0.05|0.02|0.08|0.0|-0.05|0.05
IND_05|Telegraph Lines|Lay copper wire across continents for instant communication.|FALSE|1840|2|5|IND_04||Rapid research sharing|Minor resource drain|0.0|0.0|-0.02|0.0|0.0|0.0|0.0|0.0|0.02|0.05|0.05|0.0|-0.02|0.05
IND_06|Bessemer Process|Mass produce steel for structural engineering and bridges.|FALSE|1850|3|10|IND_02||Enables skyscrapers|Heavy carbon footprint|-0.04|0.0|0.0|0.0|0.0|0.0|0.0|0.03|0.10|0.02|0.08|0.0|-0.05|0.03
IND_07|Combustion Engine|Develop oil-driven internal combustion engines.|FALSE|1880|3|10|IND_06||Explosive transport tech|Accelerates climate volatility|-0.06|-0.02|0.0|-0.01|0.0|0.0|0.0|0.04|0.12|0.02|0.10|0.08|-0.08|0.05
IND_08|Electrification|Wire the continents to provide power to factories and homes.|FALSE|1890|4|15|IND_06||Modernizes society|Requires vast copper resources|-0.02|0.0|-0.02|0.0|0.0|0.0|0.0|0.01|0.08|0.05|0.08|0.10|-0.05|0.10
IND_09|Assembly Line|Standardize production lines to pump out goods rapidly.|FALSE|1910|4|5|IND_07,IND_08||Economic explosion|High resource drain|-0.03|-0.01|0.0|0.0|0.0|0.0|0.0|0.02|0.15|0.03|0.15|0.0|-0.10|0.04
IND_10|Fossil Fuel Grid|Build massive coal and gas power plants for the electric grid.|FALSE|1920|4|10|IND_08|ECO_13|Huge industrial power|Catastrophic air quality drop|-0.15|-0.02|-0.02|-0.02|0.0|-0.02|-0.02|0.08|0.15|0.0|0.10|0.20|-0.10|0.02
IND_11|Chemical Engineering|Synthesize new materials and fertilizers in labs.|FALSE|1920|3|8|IND_09||Boosts tech and agriculture|Toxic chemical runoffs|-0.02|-0.05|0.0|-0.05|0.0|-0.05|-0.05|0.0|0.08|0.10|0.05|0.0|-0.05|0.0
IND_12|Synthetic Plastics|Produce cheap, durable polymers from petroleum.|FALSE|1930|4|5|IND_11||Cheap manufacturing|Permanent microplastic pollution|-0.02|-0.15|0.0|-0.05|0.0|-0.05|0.0|0.0|0.10|0.05|0.10|0.0|0.0|0.05
IND_13|Mega-Dams|Dam major rivers to generate massive hydroelectric power.|FALSE|1930|5|15|IND_08||Clean bulk energy|Destroys freshwater ecosystems|0.0|0.0|-0.05|-0.10|0.0|0.0|-0.10|0.0|0.05|0.0|0.05|0.15|0.0|-0.02
IND_14|Heavy Metallurgy|Develop super-alloys required for megastructures.|FALSE|1940|5|10|IND_06||Unlocks advanced tech|Extremely toxic runoff|-0.05|-0.08|0.0|-0.02|0.0|-0.05|-0.05|0.0|0.12|0.05|0.05|0.0|0.05|0.0
IND_15|Deep Sea Drilling|Tap into underwater oil reserves to feed energy demands.|FALSE|1950|5|8|IND_07||Massive energy influx|Severe ocean pollution risk|-0.02|-0.10|0.0|-0.05|0.0|0.0|0.0|0.05|0.05|0.02|0.05|0.15|-0.05|-0.02
IND_16|Highway Systems|Pave continents in asphalt to connect cities instantly.|FALSE|1950|5|12|IND_07||Economic mobility|Fragments forest habitats|-0.08|0.0|-0.10|-0.08|0.0|0.0|0.0|0.03|0.08|0.0|0.12|0.0|-0.05|0.08
IND_17|Nuclear Fission|Split the atom for incredible power yields.|FALSE|1950|8|20|IND_08|ECO_13|Unprecedented energy|Generates toxic nuclear waste|0.05|-0.02|0.0|0.0|0.0|-0.05|-0.02|0.0|0.10|0.10|0.08|0.25|-0.05|0.01
IND_18|Commercial Aviation|Launch global airline networks for civilian transport.|FALSE|1960|6|10|IND_07||Globalizes trade|High atmospheric carbon injection|-0.10|0.0|0.0|0.0|0.0|0.0|0.0|0.05|0.05|0.02|0.10|0.0|-0.05|0.05
IND_19|Space Race|Pour national GDP into reaching the moon to flex global power.|FALSE|1960|8|10|IND_14||Explosive tech advancements|Massive waste of resources|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10|0.20|-0.10|-0.05|-0.10|0.10
IND_20|Global Logistics|Establish global shipping lanes and massive container vessels.|FALSE|1970|5|10|IND_09||Maximizes economic reach|Ocean habitat disruption|-0.05|-0.08|0.0|-0.02|0.0|0.0|0.0|0.04|0.10|0.0|0.12|0.0|-0.05|0.03
IND_21|Consumer Electronics|Mass produce radios, TVs, and personal computers.|FALSE|1970|5|10|IND_08||Approval skyrockets|Rare earth metal depletion|-0.02|-0.02|0.0|0.0|0.0|0.0|0.0|0.01|0.10|0.05|0.15|0.0|-0.10|0.15
IND_22|Corporate Deregulation|Remove all red tape to let the free market explode.|FALSE|1980|5|5|IND_20||Maximum economic growth|Monopolies destroy the earth|-0.10|-0.10|-0.10|-0.10|0.0|-0.05|-0.05|0.05|0.15|0.05|0.25|0.0|0.0|-0.05
IND_23|Global Internet|Connect universities and corporations worldwide via digital webs.|FALSE|1980|6|10|IND_21||Accelerates all tech|Vulnerable to cyber espionage|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05|0.20|0.05|-0.02|0.0|0.05
IND_24|Satellite Network|Encase the globe in GPS and communication arrays.|FALSE|1990|6|10|IND_19,IND_23||Perfect global logistics|Clutters orbit with space junk|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.08|0.10|0.15|0.0|-0.02|0.05
